event,step,tokens_seen,checkpoint_sha256,train_loss,train_bpb,train_target_tokens,train_text_bytes,validation_loss,validation_bpb,validation_target_tokens,validation_text_bytes,evaluation_seconds
evaluation,1,128,9dbdfc72ecbe54468f191851c0804b4fcfc663b69fad28cdc95992a97e13af06,10.364837169647217,2.894157720333397,128,651,10.398544788360596,3.4684067291231235,128,545,0.12479694106150419
evaluation,2,256,bbdc0b446bdfd1f350c921dff4e1a9ddaa56013c77c17a4deec43f6d9468b020,10.345515727996826,2.8887624169285746,128,651,10.398034572601318,3.4683168967466345,128,545,0.1202458570478484
